"","VisitID","VisitDate","ProjName","AreaName","AreaCode","Comments","Recorder","Authority","SearchTime","Latitude","Longitude","GroupName","Stream cross sectional area","Water Temperature","Air Temp.","Water pH","Conductivity","Water Condition","Stream Flow","Precipitation Last 48 Hours","Weather","Turbidity (NTU)","Turbidity (cm)","Stream Stage","Water Condition_1","Conductivity_1","Stream Flow_1","Precipitation Last 48 Hours_1","Weather_1","Water Temperature_1","Air Temp._1","Water pH_1","Turbidity (cm)_1","Stream cross sectional area_1","Stream Velocity","Turbidity (NTU)_1","Stream Velocity_1","Stream Stage_1","Turbidity (NTU)_2","Turbidity (cm)_2","Water pH_2","Conductivity_2","Water Condition_2","Stream Flow_2","Weather_2","Stream Velocity_2","Stream cross sectional area_2","Water Temperature_2","Air Temp._2","Precipitation Last 48 Hours_2","Weather Description","Weather Description_1","Precipitation","The Location Name","Silt/Clay (<0.05 mm)","Sand (<2 mm)","Very Fine Gravel (2-4 mm)","Fine Gravel (5-8 mm)","Medium Gravel (9-16 mm)","Coarse Gravel (17-32 mm)","Very Coarse Gravel (33-64 mm)","Small Cobble (65-90 mm)","Medium Cobble (91-128 mm)","Large Cobble (129-180 mm)","Very Large Cobble (181-255 mm)","Small Boulder (256-512 mm)","Medium Boulder (513-1024 mm)","Large Boulder (1025-2048 mm)","Very Large Boulder (>2048 mm)","Bedrock","Woody Debris","Study Reach (feet)","Total Count","Study Reach (meters)","Small Boulder (256-512 mm)_1","Very Large Cobble (181-255 mm)_1","Large Cobble (129-180 mm)_1","Medium Cobble (91-128 mm)_1","Small Cobble (65-90 mm)_1","Very Coarse Gravel (33-64 mm)_1","Coarse Gravel (17-32 mm)_1","Medium Gravel (9-16 mm)_1","Very Fine Gravel (2-4 mm)_1","Medium Boulder (513-1024 mm)_1","Bedrock_1","Very Large Boulder (>2048 mm)_1","Large Boulder (1025-2048 mm)_1","Woody Debris_1","Total Pebbles Counted","Silt/Clay (<0.05 mm)_1","Sand (<2 mm)_1","Fine Gravel (5-8 mm)_1","Additional Comments","Additional Comments_1","Additional Comments_2","Additional Comments_3","Additional Comments_4","Total Count_1","Study Reach (feet)_1","Precipitation_1","Stream Stage_2","Weather Description_2","Precipitation_2","Comments_1","Study Reach (meters)_1","Distance measured - every 30","Stage from bridge","Stage"
"1",1434348,2013-11-07,"Trout Unlimited WV-VA Water Quality Monitoring Project","BRUSRU001","BRUSRU001",NA,"Jaimie Holmes","Jaimie Holmes",0,38.84138,-79.41505,NA,169.5,51.4,59.1,7.5,121.55,"Clear","Normal","Moderate","Raining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1434349,2013-11-07,"Trout Unlimited WV-VA Water Quality Monitoring Project","ROARCR001","ROARCR001",NA,"Jaimie Holmes","Jaimie Holmes",0,38.85047,-79.41937,NA,197,50.3,51,7,98.45,"Clear","Normal","Moderate","Raining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1434350,2013-11-07,"Trout Unlimited WV-VA Water Quality Monitoring Project","SENECR001","SENECR001",NA,"Jaimie Holmes","Jaimie Holmes",0,38.84945,-79.48681,NA,63.5,48.2,48.5,NA,78.1,"Clear","Normal","Moderate","Raining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1434351,2013-11-07,"Trout Unlimited WV-VA Water Quality Monitoring Project","WHITRU001","WHITRU001",NA,"Jaimie Holmes","Jaimie Holmes",0,38.85014,-79.4871,NA,24,48,53.7,NA,106.3,"Clear","Normal","Moderate","Raining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1434352,2013-11-07,"Trout Unlimited WV-VA Water Quality Monitoring Project","HORSRU001","HORSRU001",NA,"Jaimie Holmes","Jaimie Holmes",0,38.86398,-79.45479,NA,15.4,46.7,46.4,NA,184.85,"Clear","Normal","Moderate","Raining",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1438156,2014-01-12,"Trout Unlimited WV-VA Water Quality Monitoring Project","SENECR002","SENECR002",NA,"Sandy Young","Jaimie Holmes",25,38.83485,-79.37389,NA,NA,38.1,49.2,6.25,98.3,"Clear","High","Heavy","Sunny",3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1438274,2014-02-01,"Trout Unlimited WV-VA Water Quality Monitoring Project","BOYDRU001","BOYDRU001","Couldn't measure flow because stream ice-covered.","Carol Nix","Jaimie Holmes",75,39.498211,-79.875381,NA,NA,NA,60,7.77,72.8,"Clear","Normal","None","Cloudy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1438359,2014-02-02,"Trout Unlimited WV-VA Water Quality Monitoring Project","DUNLCR001","DUNLCR001",NA,"Frank Mauritz II","Jaimie Holmes",0,37.9319,-81.1256,NA,NA,41.3,40.2,6.5,427,"Clear","Normal","Light","Cloudy",3,1.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1440196,2014-02-20,"Trout Unlimited WV-VA Water Quality Monitoring Project","FREERU002","FREERU002",NA,"Rachel Fedders","Jaimie Holmes",30,39.025166,-79.422479,NA,25.3,33.1,50,7.88,24,"Clear","High","Moderate","Cloudy",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1440197,2014-02-20,"Trout Unlimited WV-VA Water Quality Monitoring Project","IDLERU002","IDLERU002",NA,"Rachel Fedders","Jaimie Holmes",30,39.03771196,-79.41857803,NA,21.1,NA,50.9,8.62,23,"Clear","High","Moderate","Cloudy",2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
