"","x"
"1","VisitID"
"2","VisitDate"
"3","ProjName"
"4","AreaName"
"5","AreaCode"
"6","Latitude"
"7","Longitude"
"8","Stream_cross_sectional_area"
"9","Water_Temperature"
"10","Air_Temp."
"11","Water_pH"
"12","Conductivity"
"13","Water_Condition"
"14","Stream_Flow"
"15","Precipitation_Last_48_Hours"
"16","Weather"
"17","Turbidity_NTU"
"18","Turbidity_cm"
"19","Stream_Stage"
"20","Water_Condition_1"
"21","Conductivity_1"
"22","Stream_Flow_1"
"23","Precipitation_Last_48_Hours_1"
"24","Weather_1"
"25","Water_Temperature_1"
"26","Air_Temp._1"
"27","Water_pH_1"
"28","Turbidity_cm_1"
"29","Stream_cross_sectional_area_1"
"30","Stream_Velocity"
"31","Turbidity_NTU_1"
"32","Stream_Velocity_1"
"33","Stream_Stage_1"
"34","Turbidity_NTU_2"
"35","Turbidity_cm_2"
"36","Water_pH_2"
"37","Conductivity_2"
"38","Water_Condition_2"
"39","Stream_Flow_2"
"40","Weather_2"
"41","Stream_Velocity_2"
"42","Stream_cross_sectional_area_2"
"43","Water_Temperature_2"
"44","Air_Temp._2"
"45","Precipitation_Last_48_Hours_2"
"46","Weather_Description"
"47","Weather_Description_1"
"48","Precipitation"
"49","The_Location_Name"
"50","Silt/Clay_0.05_mm"
"51","Sand_2_mm"
"52","Very_Fine_Gravel_24_mm"
"53","Fine_Gravel_58_mm"
"54","Medium_Gravel_916_mm"
"55","Coarse_Gravel_1732_mm"
"56","Very_Coarse_Gravel_3364_mm"
"57","Small_Cobble_6590_mm"
"58","Medium_Cobble_91128_mm"
"59","Large_Cobble_129180_mm"
"60","Very_Large_Cobble_181255_mm"
"61","Small_Boulder_256512_mm"
"62","Medium_Boulder_5131024_mm"
"63","Large_Boulder_10252048_mm"
"64","Very_Large_Boulder_2048_mm"
"65","Bedrock"
"66","Woody_Debris"
"67","Study_Reach_feet"
"68","Total_Count"
"69","Study_Reach_meters"
"70","Small_Boulder_256512_mm_1"
"71","Very_Large_Cobble_181255_mm_1"
"72","Large_Cobble_129180_mm_1"
"73","Medium_Cobble_91128_mm_1"
"74","Small_Cobble_6590_mm_1"
"75","Very_Coarse_Gravel_3364_mm_1"
"76","Coarse_Gravel_1732_mm_1"
"77","Medium_Gravel_916_mm_1"
"78","Very_Fine_Gravel_24_mm_1"
"79","Medium_Boulder_5131024_mm_1"
"80","Bedrock_1"
"81","Very_Large_Boulder_2048_mm_1"
"82","Large_Boulder_10252048_mm_1"
"83","Woody_Debris_1"
"84","Total_Pebbles_Counted"
"85","Silt/Clay_0.05_mm_1"
"86","Sand_2_mm_1"
"87","Fine_Gravel_58_mm_1"
"88","Additional_Comments"
"89","Additional_Comments_1"
"90","Additional_Comments_2"
"91","Additional_Comments_3"
"92","Additional_Comments_4"
"93","Total_Count_1"
"94","Study_Reach_feet_1"
"95","Precipitation_1"
"96","Stream_Stage_2"
"97","Weather_Description_2"
"98","Precipitation_2"
"99","Comments_1"
"100","Study_Reach_meters_1"
"101","Distance_measured__every_30"
"102","Stage_from_bridge"
"103","Stage"
